Type,Vendor,Model,Speed (mph),Size (ft),MTOW (lbs), Payload (lbs),Payload Fraction,Flight Time (min),COG,UAS Group
Helicopter,VELOS ,V3,74.56,6.38,55,35,0.64,80,USA,2
Helicopter,Aerovironment,VAPOR,33,7.5,65,20,0.31,75,USA,3
Helicopter,UAVOS,UVH 25EL,62.14,8.76,55,11.03,0.2,90,USA,2
Helicopter,Steadicopter,Black Eagle 50H,78.29,9.19,110.25,26.46,0.24,300,Israel,3
Helicopter,Anduril,Ghost,85,8.9,37,10,0.27,55,USA,2
Helicopter,UAVOS,UVH 170,74,10.8,99,33,0.33,300,USA,3
Helicopter,Aeroscout,Scout B1-100,55,10.8,170,40,0.24,90,Switzerland,3
Helicopter,UMS Skeldar,V-150,74.6,11.5,330.7,88,0.27,300,Switzerland,3
Helicopter,ZIYAN UAS,Falcon-10,80.78,5.43,55.12,15.43,0.28,50,China,3
Helicopter,ZIYAN UAS,Blowfish A2G,62.14,6.14,86,26.5,0.31,60,China,3
Helicopter,ZIYAN UAS,Ranger P2X PTK,62.14,5.55,39.7,2.87,0.07,120,China,2
Helicopter,Alpha Unmanned Systems,Alpha 800,34.17,5.9,30.87,4.4,0.14,150,Spain,2
Helicopter,Swiss Drones,SDO 50 V2,44.73,9.25,191.8,88.2,0.46,186,Switzerland,3
Helicopter,Schiebel,Camcopter S-100,115.1,11.15,441,110,0.25,360,Austria,3
Helicopter,Steadicopter,Black Eage 50E,80.55,9.19,110.25,33.08,0.3,120,Israel,3
Helicopter,Steadicopter,Black Eage 50,80.55,8.33,77.18,11.03,0.14,,Israel,3
Helicopter,FLIR ,Black Hornet ,13.4,0.55,0.73,0,0,25,USA,1
Helicopter,4Front Robotics,Navig8 Electric,27.96,2.13,24.25,11.02,0.45,45,Canada,2
Helicopter,4Front Robotics,Navig8-32 Gas,96.31,9.83,200,44,0.22,100,Canada,3
Helicopter,ZALA ,421-02,55.92,10.05,297.62,88.18,0.3,360,Russia,3
Helicopter,ZALA ,421-06,80.55,5.8,26.46,4.41,0.17,90,Russia,2
Helicopter,Indela,I.N. Sky,43.5,10.4,308.65,55.12,0.18,360,Belarus,3
Helicopter,Drone Hopper,Nuntius,55.9,5.15,33.1,6.61,0.2,150,Spain,2
Helicopter,Drone Hopper,Titanium,74.6,7.22,55.12,22.05,0.4,180,Spain,3
Helicopter,Steadicopter,Black Eagle 35E,80.55,8.33,77.18,15.44,0.2,90,Israel,3
Helicopter,4Front Robotics,Navig8-56 Gas,124.27,10.25,275,70,0.25,150,Canada,3
FPV Multirotor,DJI ,FPV,87,0.83,4.01,2.21,0.55,20,China,1
FPV Multirotor,DRL,RacerX,179,0.8,1.8,,,,USA,1
FPV Multirotor,Lumenier,QAV-PRO,118,2.3,10,3,0.3,20,USA,1
FPV Multirotor,DJI ,Avata,67,0.6,3.07,2.16,0.7,18,China,1
Multirotor,Parrot ,ANAFI USA,33,1.2,1.42,0.32,0.23,32,France,1
Multirotor,Skydio,Skydio 2+,36,0.9,1.7,0,0,27,USA,1
Multirotor,Skydio,Skydio X2,25,2.87,3.25,0.33,0.1,35,USA,1
Multirotor,DJI,Mavic 3,47,1.14,12.1,10,0.83,43,China,1
Multirotor,Height Technologies,MI-3,38,4.17,24.5,6.6,0.27,90,Netherlands,2
Multirotor,Lockheed Martin,Indago  3,46,3.8,5,1.26,0.25,70,USA,1
Multirotor,Teledyne FLIR,Skyranger R70,31,4.42,29.7,7.7,0.26,59,USA,2
Multirotor,Ascent Technologies,Spirit,60,2.13,13.5,6.5,0.48,32,USA,1
Multirotor,STM,Kargu,44,3.2,17.9,2.86,0.16,30,Turkey,1
Multirotor,Inspired Flight,IF800,56,4.43,16.9,6.6,0.39,,USA,1
Multirotor,Acecore Technologies,Zoe Zetona 8,57,3.08,26.35,4.85,0.18,2,Netherlands,2
Multirotor,Ascent Technologies,NX30,60,3,30,15.3,0.51,37,USA,2
Multirotor,Performance Drone Works,C100,45,5.42,34,15,0.44,60,USA,2
Multirotor,Lucid,Sherpa,50,4,35,,,20,USA,2
Multirotor,Wave Aerospace,Falcon II LE ,72,4.2,44,20,0.45,60,USA,2
Multirotor,Draganfly,Commander 3 XL,45,5.3,55,22,0.4,50,Canada,2
Multirotor,Wave Aerospace,X-5B Huntress,109,6.4,100,50,0.5,120,USA,3
